18/03/11 02:40:08 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/11 02:40:08 INFO client.RMProxy: Connecting to ResourceManager at cluster-919f-m/10.138.0.3:8032
18/03/11 02:40:10 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/11 02:40:12 INFO input.FileInputFormat: Total input files to process : 3035
18/03/11 02:40:13 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/11 02:40:13 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1520621190214_0005
18/03/11 02:40:13 INFO impl.YarnClientImpl: Submitted application application_1520621190214_0005
18/03/11 02:40:13 INFO mapreduce.Job: The url to track the job: http://cluster-919f-m:8088/proxy/application_1520621190214_0005/
18/03/11 02:40:13 INFO mapreduce.Job: Running job: job_1520621190214_0005
18/03/11 02:40:21 INFO mapreduce.Job: Job job_1520621190214_0005 running in uber mode : false
18/03/11 03:59:01 INFO mapreduce.Job:  map 100% reduce 50%
18/03/11 03:59:02 INFO mapreduce.Job:  map 100% reduce 52%
18/03/11 03:59:04 INFO mapreduce.Job:  map 100% reduce 53%
18/03/11 03:59:06 INFO mapreduce.Job:  map 100% reduce 54%
18/03/11 03:59:07 INFO mapreduce.Job:  map 100% reduce 55%
18/03/11 03:59:08 INFO mapreduce.Job:  map 100% reduce 57%
18/03/11 03:59:10 INFO mapreduce.Job:  map 100% reduce 59%
18/03/11 03:59:13 INFO mapreduce.Job:  map 100% reduce 60%
18/03/11 03:59:14 INFO mapreduce.Job:  map 100% reduce 62%
18/03/11 03:59:16 INFO mapreduce.Job:  map 100% reduce 64%
18/03/11 03:59:20 INFO mapreduce.Job:  map 100% reduce 67%
18/03/11 03:59:22 INFO mapreduce.Job:  map 100% reduce 68%
18/03/11 03:59:24 INFO mapreduce.Job:  map 100% reduce 69%
18/03/11 03:59:26 INFO mapreduce.Job:  map 100% reduce 71%
18/03/11 03:59:28 INFO mapreduce.Job:  map 100% reduce 72%
18/03/11 03:59:30 INFO mapreduce.Job:  map 100% reduce 73%
18/03/11 03:59:31 INFO mapreduce.Job:  map 100% reduce 74%
18/03/11 03:59:32 INFO mapreduce.Job:  map 100% reduce 76%
18/03/11 03:59:34 INFO mapreduce.Job:  map 100% reduce 77%
18/03/11 03:59:37 INFO mapreduce.Job:  map 100% reduce 78%
18/03/11 03:59:38 INFO mapreduce.Job:  map 100% reduce 79%
18/03/11 03:59:39 INFO mapreduce.Job:  map 100% reduce 80%
18/03/11 03:59:40 INFO mapreduce.Job:  map 100% reduce 81%
18/03/11 03:59:43 INFO mapreduce.Job:  map 100% reduce 82%
18/03/11 03:59:44 INFO mapreduce.Job:  map 100% reduce 83%
18/03/11 03:59:45 INFO mapreduce.Job:  map 100% reduce 84%
18/03/11 03:59:46 INFO mapreduce.Job:  map 100% reduce 85%
18/03/11 03:59:49 INFO mapreduce.Job:  map 100% reduce 86%
18/03/11 03:59:50 INFO mapreduce.Job:  map 100% reduce 87%
18/03/11 03:59:52 INFO mapreduce.Job:  map 100% reduce 88%
18/03/11 03:59:54 INFO mapreduce.Job:  map 100% reduce 89%
18/03/11 03:59:56 INFO mapreduce.Job:  map 100% reduce 90%
18/03/11 03:59:57 INFO mapreduce.Job:  map 100% reduce 91%
18/03/11 03:59:58 INFO mapreduce.Job:  map 100% reduce 92%
18/03/11 04:00:03 INFO mapreduce.Job:  map 100% reduce 93%
18/03/11 04:00:04 INFO mapreduce.Job:  map 100% reduce 94%
18/03/11 04:00:09 INFO mapreduce.Job:  map 100% reduce 95%
18/03/11 04:00:10 INFO mapreduce.Job:  map 100% reduce 96%
18/03/11 04:00:15 INFO mapreduce.Job:  map 100% reduce 97%
18/03/11 04:00:16 INFO mapreduce.Job:  map 100% reduce 98%
18/03/11 04:00:21 INFO mapreduce.Job:  map 100% reduce 99%
18/03/11 04:00:27 INFO mapreduce.Job:  map 100% reduce 100%
18/03/11 04:00:37 INFO mapreduce.Job: Job job_1520621190214_0005 completed successfully
18/03/11 04:00:37 INFO mapreduce.Job: Counters: 56
	File System Counters
		FILE: Number of bytes read=3420439283
		FILE: Number of bytes written=7284273783
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141053926
		GS: Number of bytes written=235895406
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=427608
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3035
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=3035
		Launched reduce tasks=9
		Rack-local map tasks=3035
		Total time spent by all maps in occupied slots (ms)=131775704
		Total time spent by all reduces in occupied slots (ms)=7509964
		Total time spent by all map tasks (ms)=32943926
		Total time spent by all reduce tasks (ms)=1877491
		Total vcore-milliseconds taken by all map tasks=32943926
		Total vcore-milliseconds taken by all reduce tasks=1877491
		Total megabyte-milliseconds taken by all map tasks=67469160448
		Total megabyte-milliseconds taken by all reduce tasks=3845101568
	Map-Reduce Framework
		Map input records=3035
		Map output records=210623260
		Map output bytes=2999192680
		Map output materialized bytes=3420584909
		Input split bytes=427608
		Combine input records=0
		Combine output records=0
		Reduce input groups=1218245
		Reduce shuffle bytes=3420584909
		Reduce input records=210623260
		Reduce output records=1218245
		Spilled Records=421246520
		Shuffled Maps =24280
		Failed Shuffles=0
		Merged Map outputs=24280
		GC time elapsed (ms)=683642
		CPU time spent (ms)=5828010
		Physical memory (bytes) snapshot=1459322552320
		Virtual memory (bytes) snapshot=10631740928000
		Total committed heap usage (bytes)=1325715161088
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1141053926
	File Output Format Counters 
		Bytes Written=235895406
Job output is complete
